LocationAbbr,LocationDesc,MortalityPer100k
AL,Mobile County,444.8
AL,Monroe County,446.6
AL,Montgomery County,369.9
AL,Morgan County,457.4
AL,Perry County,547.6
AL,Pickens County,417.4
AL,Pike County,440.3
AL,Randolph County,486.7
AL,Russell County,351.7
AL,St. Clair County,442.4
AL,Shelby County,306.7
AL,Sumter County,491.2
AL,Talladega County,477
AL,Tallapoosa County,443
AL,Tuscaloosa County,396.6
AL,Walker County,607.1
AL,Washington County,543.9
AL,Wilcox County,741.5
AL,Winston County,419.7
AL,Autauga County,554.7
AL,Baldwin County,463.6
AL,Barbour County,604.5
AL,Bibb County,582.3
AL,Blount County,455.1
AL,Bullock County,510.6
AL,Butler County,571
AL,Calhoun County,701.2
AL,Chambers County,517.9
AL,Cherokee County,545.5
AL,Chilton County,607.2
AL,Choctaw County,648
AL,Clarke County,530.3
AL,Clay County,560.5
AL,Cleburne County,615.9
AL,Coffee County,560.4
AL,Colbert County,641.7
AL,Conecuh County,597.2
AL,Coosa County,475.9
AL,Covington County,577.8
AL,Crenshaw County,537.2
AL,Cullman County,499
AL,Dale County,552
AL,Dallas County,735
AL,DeKalb County,670
AL,Elmore County,535.6
AL,Escambia County,583.7
AL,Etowah County,674.5
AL,Fayette County,569.5
AL,Franklin County,676
AL,Geneva County,554.4
AL,Greene County,579.1
AL,Hale County,598.9
AL,Henry County,598.8
AL,Houston County,494.3
AL,Jackson County,637.2
AL,Jefferson County,492.3
AL,Lamar County,558.6
AL,Lauderdale County,486
AL,Lawrence County,669.5
AL,Lee County,443
AL,Limestone County,571.3
AL,Lowndes County,484.4
AL,Macon County,671.4
AL,Madison County,488.5
AL,Marengo County,652.4
AL,Marion County,647.9
AL,Marshall County,627.5
AL,Mobile County,563.4
AL,Monroe County,535.2
AL,Montgomery County,490.3
AL,Morgan County,548
AL,Perry County,671.7
AL,Pickens County,511.5
AL,Pike County,522.3
AL,Randolph County,556.9
AL,Russell County,403.7
AL,St. Clair County,528.3
AL,Shelby County,391.3
AL,Sumter County,621.6
AL,Talladega County,552.2
AL,Tallapoosa County,534.9
AL,Tuscaloosa County,520.7
AL,Walker County,701.5
AL,Washington County,646.6
AL,Wilcox County,789.7
AL,Winston County,494.3
AL,Autauga County,354.2
AL,Baldwin County,306.1
AL,Barbour County,344.1
AL,Bibb County,350.2
AL,Blount County,323.7
AL,Bullock County,322.1
AL,Butler County,392.8
AL,Calhoun County,434.2
AL,Chambers County,367.7
AL,Cherokee County,405.9
AL,Chilton County,471.4
AL,Choctaw County,434.7
AL,Clarke County,375.2
AL,Clay County,445.5
AL,Cleburne County,386.5
AL,Coffee County,358.3
AL,Colbert County,435.5
AL,Conecuh County,397.4
AL,Coosa County,335.7
AL,Covington County,358.9
AL,Crenshaw County,332.3
AL,Cullman County,390.6
AL,Dale County,331.6
AL,Dallas County,495.4
AL,DeKalb County,426.8
AL,Elmore County,381.9
AL,Escambia County,374
AL,Etowah County,428.4
AL,Fayette County,328
AL,Franklin County,439.2
AL,Geneva County,352.5
AL,Greene County,359.1
AL,Hale County,355.1
AL,Henry County,323.5
AL,Houston County,288.2
AL,Jackson County,386.6
AL,Jefferson County,315.4
AL,Lamar County,364
AL,Lauderdale County,281
AL,Lawrence County,444.6
AL,Lee County,330.7
AL,Limestone County,371.5
AL,Lowndes County,352.1
AL,Macon County,355.6
AL,Madison County,307.9
AL,Marengo County,453.3
AL,Marion County,470.7
AL,Marshall County,419.9
AL,Mobile County,354.9
AL,Monroe County,373.1
AL,Montgomery County,284.1
AL,Morgan County,383.6
AL,Perry County,448.4
AL,Pickens County,328.2
AL,Pike County,357.8
AL,Randolph County,408.2
AL,Russell County,323.2
AL,St. Clair County,365.2
AL,Shelby County,244.9
AL,Sumter County,416.3
AL,Talladega County,401.5
AL,Tallapoosa County,361.7
AL,Tuscaloosa County,306.2
AL,Walker County,506.8
AL,Washington County,407.7
AL,Wilcox County,624.2
AL,Winston County,391.7
AL,Autauga County,436
AL,Baldwin County,374.9
AL,Barbour County,428.2
AL,Bibb County,462.4
AL,Blount County,391.3
AL,Bullock County,395
AL,Butler County,440.3
AL,Calhoun County,560.7
AL,Chambers County,397.4
AL,Cherokee County,449.7
AL,Chilton County,533.6
AL,Choctaw County,500.6
AL,Clarke County,392.2
AL,Clay County,481.9
AL,Cleburne County,488.7
AL,Coffee County,444
AL,Colbert County,543.9
AL,Conecuh County,462.9
AL,Coosa County,376.4
AL,Covington County,448.1
AL,Crenshaw County,414.4
AL,Cullman County,449.4
AL,Dale County,435.7
AL,Dallas County,493.5
AL,DeKalb County,554.2
AL,Elmore County,452.9
AL,Escambia County,463.1
AL,Etowah County,540
AL,Fayette County,439.9
AL,Franklin County,561.8
AL,Geneva County,459.7
AL,Greene County,390.6
AL,Hale County,410.9
AL,Henry County,429
AL,Houston County,352.3
AL,Jackson County,509.9
AL,Jefferson County,363.1
AL,Lamar County,465.9
AL,Lauderdale County,362.7
AL,Lawrence County,582.5
AL,Lee County,355.6
AL,Limestone County,471.1
AL,Lowndes County,383.2
AL,Macon County,425.3
